target_id,Cluster
TMUE_1000004935.1,C0
TMUE_1000004938.4,C0
TMUE_1000004939.1,C0
TMUE_1000004940.1,C0
TMUE_1000004941.1,C0
TMUE_1000004946.1,C0
TMUE_1000004961.1,C0
TMUE_1000004963.1,C0
TMUE_1000004966.1,C0
TMUE_1000004970.1,C0
TMUE_1000004971.1,C0
TMUE_1000004981.1,C0
TMUE_1000004982.2,C0
TMUE_1000004988.1,C0
TMUE_1000004989.1,C0
TMUE_1000004993.1,C0
TMUE_1000004995.2,C0
TMUE_1000005002.1,C0
TMUE_1000005003.1,C0
TMUE_1000005010.1,C0
TMUE_1000005031.1,C0
TMUE_1000005040.1,C0
TMUE_1000005047.1,C0
TMUE_1000005051.1,C0
TMUE_1000005057.1,C0
TMUE_1000005062.1,C0
TMUE_1000005070.1,C0
TMUE_1000005075.1,C0
TMUE_1000005078.1,C0
TMUE_1000005090.1,C0
TMUE_1000005097.1,C0
TMUE_1000005099.1,C0
TMUE_1000005111.1,C0
TMUE_1000005132.1,C0
TMUE_1000005141.1,C0
TMUE_1000005143.1,C0
TMUE_1000005149.1,C0
TMUE_1000005150.1,C0
TMUE_1000005153.1,C0
TMUE_1000005155.1,C0
TMUE_1000005162.1,C0
TMUE_1000005168.1,C0
TMUE_1000005169.1,C0
TMUE_1000005185.1,C0
TMUE_1000005187.1,C0
TMUE_1000005189.1,C0
TMUE_1000005192.1,C0
TMUE_1000005194.1,C0
TMUE_1000005200.1,C0
TMUE_1000005206.2,C0
TMUE_1000005206.3,C0
TMUE_1000005208.1,C0
TMUE_1000005210.1,C0
TMUE_1000005211.1,C0
TMUE_1000005214.1,C0
TMUE_1000005216.1,C0
TMUE_1000005222.1,C0
TMUE_1000005227.1,C0
TMUE_1000005228.1,C0
TMUE_1000005230.1,C0
TMUE_1000005232.1,C0
TMUE_1000005233.1,C0
TMUE_1000005235.1,C0
TMUE_1000005245.1,C0
TMUE_1000005246.1,C0
TMUE_1000005262.2,C0
TMUE_1000005265.1,C0
TMUE_1000005266.3,C0
TMUE_1000005268.1,C0
TMUE_1000005270.1,C0
TMUE_1000005278.1,C0
TMUE_1000005300.1,C0
TMUE_1000005304.1,C0
TMUE_1000005311.1,C0
TMUE_1000005315.1,C0
TMUE_1000005315.2,C0
TMUE_1000005317.3,C0
TMUE_1000005320.2,C0
TMUE_1000005325.4,C0
TMUE_1000005328.1,C0
TMUE_1000005331.1,C0
TMUE_1000005345.2,C0
TMUE_1000005348.1,C0
TMUE_1000005349.1,C0
TMUE_1000005352.2,C0
TMUE_1000005352.3,C0
TMUE_1000005352.4,C0
TMUE_1000005354.1,C0
TMUE_1000005355.1,C0
TMUE_1000005360.1,C0
TMUE_1000005361.1,C0
TMUE_1000005367.1,C0
TMUE_1000005367.2,C0
TMUE_1000005375.1,C0
TMUE_1000005377.1,C0
TMUE_1000005382.1,C0
TMUE_1000005384.1,C0
TMUE_1000005388.1,C0
TMUE_1000005390.1,C0
TMUE_1000005395.1,C0
TMUE_1000005407.1,C0
TMUE_1000005407.2,C0
TMUE_1000005411.1,C0
TMUE_1000005427.1,C0
TMUE_1000005432.3,C0
TMUE_1000005432.4,C0
TMUE_1000005443.1,C0
TMUE_1000005448.1,C0
TMUE_1000005449.1,C0
TMUE_1000005450.1,C0
TMUE_1000005461.1,C0
TMUE_1000005462.1,C0
TMUE_1000005463.1,C0
TMUE_1000005464.1,C0
TMUE_1000005469.1,C0
TMUE_1000005470.1,C0
TMUE_1000005496.1,C0
TMUE_1000005497.1,C0
TMUE_1000005499.1,C0
TMUE_1000005502.1,C0
TMUE_1000005503.1,C0
TMUE_1000005522.1,C0
TMUE_1000005525.1,C0
TMUE_1000005532.1,C0
TMUE_1000005539.1,C0
TMUE_1000005540.2,C0
TMUE_1000005549.1,C0
TMUE_1000005550.1,C0
TMUE_1000005551.1,C0
TMUE_1000005568.3,C0
TMUE_1000005575.1,C0
TMUE_1000005580.1,C0
TMUE_1000005590.1,C0
TMUE_1000005591.2,C0
TMUE_1000005592.1,C0
TMUE_1000005596.1,C0
TMUE_1000005598.1,C0
TMUE_1000005607.3,C0
TMUE_1000005609.1,C0
TMUE_1000005636.1,C0
TMUE_1000005639.1,C0
TMUE_1000005640.1,C0
TMUE_1000005642.1,C0
TMUE_1000005649.1,C0
TMUE_1000005668.1,C0
TMUE_1000005670.1,C0
TMUE_1000005682.1,C0
TMUE_1000005686.1,C0
TMUE_1000005690.1,C0
TMUE_1000005691.1,C0
TMUE_1000005694.2,C0
TMUE_1000005699.1,C0
TMUE_1000005700.1,C0
TMUE_1000005707.1,C0
TMUE_1000005715.1,C0
TMUE_1000005722.1,C0
TMUE_1000005739.1,C0
TMUE_1000005740.1,C0
TMUE_1000005741.1,C0
TMUE_1000005747.1,C0
TMUE_1000005759.1,C0
TMUE_1000005760.1,C0
TMUE_1000005762.1,C0
TMUE_1000005763.1,C0
TMUE_1000005764.1,C0
TMUE_1000005766.1,C0
TMUE_1000005768.1,C0
TMUE_1000005769.1,C0
TMUE_1000005770.1,C0
TMUE_1000005771.1,C0
TMUE_1000005772.1,C0
TMUE_1000005798.1,C0
TMUE_1000005798.2,C0
TMUE_1000005808.1,C0
TMUE_1000005810.1,C0
TMUE_1000005819.1,C0
TMUE_1000005821.1,C0
TMUE_1000005825.3,C0
TMUE_1000005825.4,C0
TMUE_1000005826.1,C0
TMUE_1000005828.1,C0
TMUE_1000005829.2,C0
TMUE_1000005829.3,C0
TMUE_1000005829.5,C0
TMUE_1000005840.1,C0
TMUE_1000005843.1,C0
TMUE_1000005843.2,C0
TMUE_1000005850.1,C0
TMUE_1000005856.1,C0
TMUE_1000005857.1,C0
TMUE_1000005875.1,C0
TMUE_1000005884.2,C0
TMUE_1000005887.1,C0
TMUE_1000005891.1,C0
TMUE_1000005896.1,C0
TMUE_1000005898.1,C0
TMUE_1000005907.1,C0
TMUE_1000005912.2,C0
TMUE_1000005913.1,C0
TMUE_1000005924.1,C0
TMUE_1000005930.1,C0
TMUE_1000005936.1,C0
TMUE_1000005938.1,C0
TMUE_1000005940.1,C0
TMUE_1000005948.1,C0
TMUE_1000005950.1,C0
TMUE_1000005952.2,C0
TMUE_1000005954.1,C0
TMUE_1000005963.1,C0
TMUE_1000005970.1,C0
TMUE_1000005978.1,C0
TMUE_1000005980.1,C0
TMUE_1000005985.1,C0
TMUE_1000005991.1,C0
TMUE_1000005994.1,C0
TMUE_1000006000.1,C0
TMUE_2000006037.1,C0
TMUE_2000006038.1,C0
TMUE_2000006057.1,C0
TMUE_2000006058.1,C0
TMUE_2000006072.1,C0
TMUE_2000006093.1,C0
TMUE_2000006099.1,C0
TMUE_2000006112.1,C0
TMUE_2000006123.1,C0
TMUE_2000006133.1,C0
TMUE_2000006139.1,C0
TMUE_2000006140.3,C0
TMUE_2000006148.3,C0
TMUE_2000006167.1,C0
TMUE_2000006168.1,C0
TMUE_2000006175.1,C0
TMUE_2000006181.1,C0
TMUE_2000006199.1,C0
TMUE_2000006209.1,C0
TMUE_2000006210.1,C0
TMUE_2000006229.1,C0
TMUE_2000006230.1,C0
TMUE_2000006235.1,C0
TMUE_2000006245.1,C0
TMUE_2000006253.1,C0
TMUE_2000006254.1,C0
TMUE_2000006258.3,C0
TMUE_2000006297.1,C0
TMUE_2000006299.1,C0
TMUE_2000006312.1,C0
TMUE_2000006314.2,C0
TMUE_2000006315.1,C0
TMUE_2000006317.1,C0
TMUE_2000006343.1,C0
TMUE_2000006349.1,C0
TMUE_2000006351.2,C0
TMUE_2000006353.1,C0
TMUE_2000006354.1,C0
TMUE_2000006383.1,C0
TMUE_2000006391.2,C0
TMUE_2000006397.2,C0
TMUE_2000006399.1,C0
TMUE_2000006407.1,C0
TMUE_2000006422.1,C0
TMUE_2000006424.1,C0
TMUE_2000006435.1,C0
TMUE_2000006437.1,C0
TMUE_2000006440.1,C0
TMUE_2000006442.2,C0
TMUE_2000006457.1,C0
TMUE_2000006469.1,C0
TMUE_2000006474.1,C0
TMUE_2000006477.3,C0
TMUE_2000006477.5,C0
TMUE_2000006478.1,C0
TMUE_2000006494.1,C0
TMUE_2000006497.1,C0
TMUE_2000006498.1,C0
TMUE_2000006507.1,C0
TMUE_2000006516.1,C0
TMUE_2000006517.1,C0
TMUE_2000006519.1,C0
TMUE_2000006537.1,C0
TMUE_2000006538.1,C0
TMUE_2000006542.1,C0
TMUE_2000006545.1,C0
TMUE_2000006564.2,C0
TMUE_2000006570.1,C0
TMUE_2000006574.1,C0
TMUE_2000006575.1,C0
