,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_2000008548.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,40
TMUE_2000008548.5,89,0,0,0,55,0,0,33,0,0,0,0,0,0,25,9,0,0,75,210,0,23,17,0
TMUE_2000008548.6,0,56,195,75,0,19,3,56,31,27,25,20,18,40,13,0,13,0,166,0,12,45,113,16
TMUE_2000008549.1,940,419,443,785,501,385,32,409,60,109,157,8,63,64,82,41,24,79,153,161,81,170,226,48
TMUE_2000008550.1,1548,1340,575,870,645,401,13,746,88,127,102,49,34,279,218,60,28,184,515,556,38,414,449,30
TMUE_2000008551.1,5,10,51,78,58,6,3,12,0,4,3,0,6,6,1,1,0,3,22,78,11,35,38,11
TMUE_2000008552.1,123,131,156,164,124,50,31,75,5,12,47,9,12,32,8,9,7,12,28,49,33,28,28,32
TMUE_2000008553.1,643,345,174,292,242,158,8,256,10,14,40,18,113,36,126,85,12,72,513,260,29,34,123,34
TMUE_2000008553.2,16,6,6,46,8,13,0,6,26,37,0,0,11,58,7,0,0,7,16,24,40,43,0,11
TMUE_2000008554.1,4,0,15,1,0,0,1,0,8,0,0,0,0,8,2,2,0,0,3,5,3,4,1,2
TMUE_2000008555.1,0,0,32,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2
TMUE_2000008556.1,39,17,161,27,23,42,48,36,5,32,6,0,15,18,8,0,14,9,20,36,142,0,33,160
TMUE_2000008556.2,175,88,153,214,60,27,7,42,6,0,20,6,0,0,64,15,0,38,92,75,31,75,100,34
TMUE_2000008557.1,158,69,69,201,31,58,5,37,8,5,25,5,7,14,0,2,0,11,0,0,1,3,6,1
TMUE_2000008559.1,49,20,42,38,9,16,5,12,8,19,102,25,8,8,44,26,16,32,140,280,57,170,120,233
TMUE_2000008559.2,5,12,63,72,0,15,11,31,0,25,0,0,26,41,24,41,8,29,18,24,99,40,27,18
TMUE_2000008560.1,313,186,463,259,205,109,38,147,22,90,121,45,27,132,85,70,37,132,107,132,277,144,143,284
TMUE_2000008561.1,497,428,411,477,271,218,9,153,15,30,48,8,25,166,179,31,16,106,360,352,46,390,358,65
TMUE_2000008562.1,418,352,373,288,189,153,18,183,39,101,74,16,27,95,118,35,19,77,150,164,64,154,270,69
TMUE_2000008563.1,16,64,60,4,0,18,33,0,0,8,0,0,0,0,0,0,0,4,10,6,83,8,52,86
TMUE_2000008563.2,0,3,5,42,63,0,0,24,0,0,2,0,0,0,6,2,7,0,31,90,0,61,91,0
TMUE_2000008563.3,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_2000008563.4,106,0,29,3,0,0,0,0,0,11,0,0,0,11,9,0,0,33,0,0,0,0,77,0
TMUE_2000008564.1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,55,20,48,38,14
TMUE_2000008564.2,12,9,71,29,0,0,0,9,0,0,0,0,0,0,5,0,0,19,54,192,107,88,197,64
TMUE_2000008564.3,38,56,0,0,82,26,0,27,17,17,13,0,1,14,0,0,6,0,3,0,0,30,0,0
TMUE_2000008564.4,30,0,0,33,7,0,0,0,0,0,0,0,0,0,9,0,0,14,91,438,132,722,660,93
TMUE_2000008565.1,1,1,18,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,3,4
TMUE_2000008567.1,2260,952,710,1119,484,852,12,361,142,131,137,59,112,353,349,99,54,293,1827,2309,265,2756,2749,202
TMUE_2000008568.1,50,19,40,77,16,10,8,15,0,7,5,0,0,3,10,1,0,5,4,26,23,82,54,32
TMUE_2000008569.1,3,4,50,22,13,2,1,4,1,3,1,0,3,6,3,0,0,7,15,19,44,16,3,28
TMUE_2000008570.1,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TMUE_2000008571.1,54,47,118,86,120,2,0,14,0,19,18,2,2,6,3,7,0,3,52,60,27,41,8,56
TMUE_2000008573.1,13,2,15,0,7,2,0,0,0,0,1,0,2,22,3,0,3,1,6,6,19,8,13,15
TMUE_2000008575.1,4,0,17,6,3,0,2,8,0,2,10,0,0,3,1,2,1,4,8,6,3,6,2,4
TMUE_2000008576.1,0,1,44,19,6,0,3,3,0,5,5,0,0,0,6,2,0,2,5,4,4,1,3,4
TMUE_2000008577.1,10,6,133,16,11,2,3,7,0,6,3,0,3,0,0,0,4,1,6,8,20,2,11,30
TMUE_2000008578.1,399,265,255,541,192,172,20,298,189,767,1981,299,336,1443,1126,505,175,931,115,88,56,139,135,68
TMUE_2000008579.1,417,157,244,192,43,116,24,25,7,13,53,7,0,140,96,10,10,57,12,75,164,94,102,73
TMUE_2000008580.1,329,293,194,197,127,94,5,152,6,12,5,2,3,50,50,12,8,24,47,125,10,100,192,21
TMUE_2000008581.1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,7
TMUE_2000008582.1,5,2,6,3,10,0,0,4,0,0,1,0,0,0,0,1,0,1,13,5,2,2,1,3
TMUE_2000008583.1,298,175,558,115,60,45,31,12,4,49,33,12,3,61,81,14,12,55,33,94,279,47,118,150
TMUE_2000008584.1,727,389,392,386,376,243,11,94,18,106,133,5,17,107,121,35,13,75,44,144,36,166,231,56
TMUE_2000008585.1,320,184,211,407,175,113,3,159,19,67,84,28,67,156,137,53,25,105,511,546,32,396,375,45
TMUE_2000008586.1,183,258,168,62,310,115,0,0,0,0,0,20,34,0,62,11,33,0,39,202,1,5,294,602
TMUE_2000008586.2,630,220,1109,586,258,87,113,298,44,56,113,0,0,131,94,80,0,216,328,351,1595,341,361,541
TMUE_2000008587.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
TMUE_2000008588.1,3863,2943,2884,4243,2518,1311,156,2446,217,444,629,117,421,933,950,577,205,897,5115,4060,435,2508,2266,503
TMUE_2000008589.1,1539,882,600,1540,522,625,22,937,105,154,561,155,266,454,489,412,138,429,2900,2294,194,2500,1428,224
TMUE_2000008590.1,421,171,276,236,103,74,14,67,17,57,44,4,15,91,72,14,28,57,242,139,73,98,160,69
TMUE_2000008591.1,9,8,34,12,7,0,3,6,3,4,4,0,0,2,3,6,2,6,11,2,13,5,9,9
TMUE_2000008592.1,0,0,15,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,6,0,2,2
TMUE_2000008593.1,155,112,106,286,111,68,1,107,18,28,28,21,75,157,110,74,29,177,423,880,55,511,445,80
TMUE_2000008594.1,207,133,47,100,65,64,8,132,47,49,108,20,24,88,93,37,15,51,120,135,22,165,127,23
TMUE_2000008595.1,59,24,191,22,26,42,43,61,27,20,126,32,80,104,119,144,125,127,162,133,233,85,67,310
TMUE_2000008596.1,51,15,48,58,18,29,3,80,0,8,61,22,15,21,21,15,10,0,40,65,4,21,5,7
TMUE_2000008596.2,30,38,29,49,10,31,0,32,12,3,45,6,7,0,4,15,0,21,41,25,0,17,20,0
TMUE_2000008597.1,477,419,319,675,174,99,40,73,0,13,33,0,0,46,73,7,7,53,119,127,113,92,239,177
TMUE_2000008597.2,319,195,382,9,226,52,9,102,44,57,52,9,18,122,61,9,25,74,47,98,11,73,165,0
TMUE_2000008598.1,884,1054,501,1847,759,401,9,830,30,201,432,142,270,572,422,250,132,472,1672,3375,59,3077,1167,99
TMUE_2000008599.1,90,74,382,94,84,12,12,93,49,31,39,21,0,13,13,4,1,9,416,346,914,155,225,968
TMUE_2000008600.1,0,0,7,0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,3,1,45,0,1,29
TMUE_2000008601.1,186,125,134,148,157,47,3,44,2,17,20,0,15,19,44,6,5,51,210,124,42,49,120,39
TMUE_2000008602.1,767,420,277,245,208,159,18,183,11,58,82,2,18,128,132,28,13,167,265,260,80,151,300,53
TMUE_2000008603.1,3274,1669,1817,776,596,792,146,143,46,203,162,7,10,495,671,16,31,361,188,278,477,328,834,423
TMUE_2000008604.1,4,0,10,1,0,0,0,1,0,3,1,0,0,1,0,0,0,0,5,4,9,8,3,8
TMUE_2000008605.1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1
TMUE_2000008606.1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TMUE_2000008607.1,500,442,425,415,223,129,15,111,11,148,45,14,0,134,141,49,10,66,78,52,55,57,173,109
TMUE_2000008607.2,61,9,99,31,40,29,10,62,0,0,14,0,34,71,47,9,14,38,219,245,110,153,205,9
TMUE_2000008608.1,1,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
TMUE_2000008609.1,0,1,1,3,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
TMUE_2000008610.1,1791,806,1501,906,583,623,95,693,226,224,309,71,116,182,221,113,64,161,585,378,239,218,359,192
TMUE_2000008611.1,2,1,2,8,2,4,0,2,0,2,6,0,16,30,61,12,4,44,44,32,6,34,18,8
TMUE_2000008612.1,177,73,74,152,24,40,4,21,0,38,60,13,10,81,58,6,8,60,19,42,13,82,50,20
TMUE_2000008613.1,235,125,112,165,67,27,8,48,0,15,11,0,18,26,27,21,11,55,49,54,19,76,128,41
TMUE_2000008614.1,7,0,20,0,0,22,0,0,0,0,0,0,13,61,30,24,18,7,50,79,25,50,58,25
TMUE_2000008614.2,101,24,14,75,0,12,1,16,0,24,50,8,516,1312,1458,304,135,408,2097,1918,298,3559,2912,406
TMUE_2000008614.3,21,7,81,0,25,0,0,0,29,0,41,0,22,762,551,41,108,937,977,2027,433,1720,2158,342
TMUE_2000008615.1,0,0,19,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,16,3,0,15
TMUE_2000008616.1,45,36,522,216,96,57,31,23,46,54,71,5,40,86,68,43,34,71,112,111,147,97,130,121
TMUE_2000008617.1,3,2,7,2,0,0,2,0,0,0,0,0,0,2,0,0,3,1,6,16,18,7,16,24
TMUE_2000008618.1,0,0,83,7,8,0,0,0,0,0,0,0,0,0,2,3,0,0,0,6,7,0,0,17
TMUE_2000008619.1,3,2,44,2,2,0,2,0,1,2,0,0,0,1,0,3,1,1,0,1,10,0,4,13
TMUE_2000008620.1,2,2,49,2,4,0,0,0,3,0,2,0,0,0,2,0,0,1,6,0,19,3,1,8
TMUE_2000008621.1,453,256,366,311,330,84,63,37,12,26,30,13,0,46,89,25,6,70,40,127,176,111,360,152
TMUE_2000008621.2,0,0,0,0,0,0,19,0,0,0,13,0,2,0,0,0,0,0,0,0,0,8,0,0
TMUE_2000008622.1,228,137,98,191,92,29,7,98,25,28,10,10,10,18,21,18,2,50,91,55,19,39,81,16
TMUE_2000008623.1,1681,1628,2548,1240,1300,491,131,1462,97,243,280,78,28,74,104,64,43,100,418,179,167,163,258,144
TMUE_2000008624.1,63,20,28,29,11,28,2,12,5,2,9,2,2,15,2,3,1,2,96,60,6,72,40,13
TMUE_2000008625.1,195,96,91,93,56,38,3,59,0,12,6,0,11,11,38,7,3,25,102,91,10,67,133,8
TMUE_2000008626.1,356,470,1341,242,117,0,85,89,94,1,41,10,36,0,45,39,0,47,154,104,249,34,47,242
TMUE_2000008626.2,556,462,484,204,218,202,0,88,69,124,46,0,0,53,24,48,43,71,64,46,53,67,141,0
TMUE_2000008626.3,24,0,62,25,0,0,0,9,0,0,16,0,0,0,29,0,1,0,0,0,0,0,0,0
TMUE_2000008627.1,17,9,13,6,4,3,0,0,0,0,0,0,0,3,4,0,0,7,27,206,45,207,418,28
TMUE_2000008628.1,132,26,40,46,24,6,3,3,7,0,0,0,0,2,1,0,0,3,4,21,12,44,9,31
TMUE_2000008629.1,298,192,292,268,121,95,11,68,48,27,68,16,24,82,104,29,21,110,146,180,274,225,316,184
TMUE_2000008630.1,285,274,3379,497,446,81,311,137,147,72,167,60,30,157,101,195,149,108,159,368,2623,267,237,2670
TMUE_2000008631.1,515,402,232,462,175,255,18,224,21,76,139,58,108,254,256,121,52,199,580,662,118,607,538,171
TMUE_2000008632.1,366,210,166,345,179,192,79,113,23,70,81,11,8,17,17,3,0,1,73,142,33,212,138,37
TMUE_2000008633.1,3246,2758,10839,2193,1957,819,512,2095,304,668,827,235,153,615,592,479,149,392,1537,1192,2309,781,1309,2223
TMUE_2000008634.1,200,145,148,64,94,35,6,117,30,47,112,28,102,341,247,174,52,390,707,1054,135,596,1068,87
TMUE_2000008636.1,592,438,371,416,273,165,24,233,55,141,183,51,48,266,165,79,36,213,328,387,189,446,633,226
TMUE_2000008637.1,55,24,47,95,13,9,10,5,0,0,3,2,6,0,0,0,0,1,0,2,11,1,3,4
TMUE_2000008638.1,35,12,97,22,2,17,2,0,0,0,3,1,6,4,24,2,0,10,64,49,31,83,97,34
TMUE_2000008639.1,123,43,144,64,33,20,7,36,2,20,30,6,1,43,56,9,8,28,49,50,36,83,88,26
TMUE_2000008640.1,580,267,593,241,77,97,54,24,34,66,101,5,58,278,212,19,41,135,33,76,250,221,232,209
TMUE_2000008641.1,1,0,10,1,1,1,0,0,0,0,0,0,0,4,2,2,0,0,0,0,6,1,0,0
TMUE_2000008642.1,295,294,253,204,163,102,8,102,28,42,68,2,6,40,58,12,6,50,64,68,42,76,119,28
TMUE_2000008643.1,0,99,28,0,35,0,0,0,0,0,0,0,0,25,0,0,20,0,0,0,20,10,17,3
TMUE_2000008643.2,1349,1196,1206,731,714,333,70,643,62,224,179,12,57,105,163,85,0,186,262,208,379,162,317,297
TMUE_2000008644.1,333,171,563,120,113,87,33,29,13,48,24,10,25,90,117,31,7,63,91,63,200,91,194,204
TMUE_2000008645.1,8,12,28,27,14,1,1,5,0,0,4,0,0,0,0,0,0,2,3,5,10,10,4,10
TMUE_2000008646.1,421,393,272,583,460,149,8,358,49,199,363,79,166,313,299,242,48,284,870,721,22,625,476,56
TMUE_2000008647.1,118,81,59,120,40,40,1,53,8,22,39,16,21,62,37,19,10,32,176,140,4,158,75,5
TMUE_2000008648.1,31,69,274,51,33,0,8,6,0,5,4,0,0,3,23,5,1,0,38,50,45,32,66,68
TMUE_2000008649.1,5,5,18,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,39,16,15,50,24
TMUE_2000008650.1,28,5,79,31,26,5,0,17,0,2,5,0,0,0,12,5,0,0,47,32,5,17,15,11
TMUE_2000008650.2,9,8,33,0,0,0,4,0,0,0,0,2,0,0,0,1,3,3,1,3,13,0,0,11
TMUE_2000008651.1,882,660,746,1351,307,283,15,477,119,162,416,84,96,297,271,138,62,196,247,264,116,273,202,231
TMUE_2000008652.1,323,131,229,164,55,87,5,14,7,81,50,5,24,131,94,18,16,92,80,102,41,162,316,49
TMUE_2000008653.1,274,85,152,708,13,35,19,16,0,1,4,1,1,0,1,0,0,2,20,26,2,18,26,2
TMUE_2000008654.1,340,121,128,1210,52,83,13,17,0,5,8,3,0,0,2,0,0,5,0,0,1,0,0,0
TMUE_2000008655.1,129,112,353,106,169,24,24,17,3,38,6,4,1,23,22,3,6,29,7,27,237,24,85,196
TMUE_2000008656.1,1039,1485,836,1166,1229,297,78,813,46,262,354,169,96,440,321,148,92,453,540,994,581,685,821,489
TMUE_2000008657.1,4078,5429,2507,4778,3685,2140,80,4107,215,437,738,284,256,598,499,413,148,529,2733,2659,133,2580,1741,226
TMUE_2000008658.1,151,72,88,144,110,37,2,76,17,38,84,34,105,204,145,96,40,164,526,611,80,527,463,85
TMUE_2000008659.1,503,164,549,312,231,191,33,88,29,111,39,1,26,92,96,26,18,123,319,308,649,322,662,651
TMUE_2000008660.1,37,43,50,44,54,37,19,7,0,23,0,0,0,43,69,8,15,46,95,69,119,72,273,145
TMUE_2000008660.2,100,38,80,44,4,0,7,4,0,10,11,0,0,0,29,5,4,0,26,55,46,10,114,83
TMUE_2000008660.3,72,0,44,6,15,8,0,19,42,11,14,3,0,86,0,0,9,47,71,78,75,69,77,81
TMUE_2000008660.4,12,77,21,58,17,0,0,0,0,0,0,0,33,0,50,13,6,22,42,78,53,34,75,45
TMUE_2000008661.1,3336,1124,2032,1070,727,811,116,103,117,193,175,20,43,444,527,92,65,517,182,426,634,618,1281,458
TMUE_2000008662.1,3,5,36,11,10,4,0,2,3,1,1,1,0,1,2,0,0,0,5,3,8,5,6,5
TMUE_2000008663.1,1007,796,583,1353,569,379,11,543,51,144,380,67,454,1327,1044,536,212,1051,2883,5878,336,6305,3466,452
TMUE_2000008664.1,1,0,0,1,0,0,0,0,0,0,3,2,2,21,15,7,6,14,32,43,10,29,28,13
TMUE_2000008666.1,251,164,303,201,118,40,8,74,6,16,63,5,54,83,38,49,27,64,371,174,55,87,125,62
TMUE_2000008667.1,263,173,208,202,139,121,24,166,21,37,54,0,10,26,36,25,6,34,243,218,49,170,214,59
TMUE_2000008668.1,21,3,21,9,5,0,0,2,0,0,3,0,11,4,3,3,0,2,0,7,0,7,6,0
TMUE_2000008669.1,525,135,219,355,129,104,5,181,41,58,35,17,61,270,219,65,47,115,458,494,25,501,418,30
TMUE_2000008669.2,600,325,258,322,159,77,11,55,28,8,23,14,12,67,123,38,6,158,139,257,189,160,322,134
TMUE_2000008670.1,21,37,186,45,73,12,6,14,4,36,13,0,0,37,35,25,2,13,49,20,44,28,40,36
TMUE_2000008671.1,8,9,47,7,3,2,3,8,4,4,3,0,0,4,4,1,0,1,16,7,10,6,4,3
TMUE_2000008672.1,45,13,86,29,36,17,5,12,0,0,0,0,9,7,20,5,3,1,5,20,95,29,46,35
TMUE_2000008673.1,572,555,362,332,528,145,11,87,14,48,26,15,4,59,48,12,11,67,40,62,61,50,113,46
TMUE_2000008674.1,61,36,24,20,20,15,1,32,0,2,4,0,0,9,1,2,0,4,23,15,2,9,18,5
TMUE_2000008675.1,286,122,1517,70,48,103,97,68,14,30,62,10,5,7,30,20,9,22,99,78,233,35,98,215
TMUE_2000008676.1,1,0,3,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
TMUE_2000008677.1,48,19,146,32,23,9,30,3,0,1,12,1,42,95,77,34,20,88,121,57,93,33,85,61
TMUE_2000008678.1,24,7,1,12,4,6,1,4,6,1,10,0,29,47,24,23,5,42,64,32,5,31,34,5
TMUE_2000008679.1,35,42,118,33,26,14,16,26,13,19,20,4,0,20,10,3,3,16,34,14,106,15,3,74
TMUE_2000008680.1,380,567,395,564,1391,190,48,680,42,90,137,36,97,223,208,103,52,651,381,1606,346,483,852,264
TMUE_2000008681.1,19,19,12,36,17,7,0,13,3,1,2,4,0,8,0,0,1,1,2,3,5,5,6,2
TMUE_2000008682.1,88,0,25,38,7,63,62,18,10,17,33,4,23,100,54,19,0,17,290,178,39,292,236,17
TMUE_2000008682.2,50,25,188,32,27,0,26,0,0,0,0,0,0,0,40,0,15,147,52,183,248,41,119,192
TMUE_2000008683.1,4,0,51,4,2,5,3,0,0,0,5,0,0,2,2,4,0,4,3,0,8,0,0,14
TMUE_2000008684.1,2,0,17,1,3,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,1,0,0
TMUE_2000008685.1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
TMUE_2000008686.1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
TMUE_2000008688.1,2,0,0,1,0,1,0,3,9,17,51,9,4,2,0,1,0,1,6,5,2,8,9,1
TMUE_2000008689.1,47,11,1150,108,35,7,14,14,0,5,11,3,5,14,8,2,1,7,15,16,33,13,8,31
TMUE_2000008691.1,34,34,12,64,16,1,1,13,0,0,2,4,0,2,4,0,0,0,75,167,12,142,110,11
TMUE_2000008693.1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,2,1,0,0,2
TMUE_2000008694.1,0,3,10,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0
TMUE_2000008696.1,6,0,97,12,11,0,0,1,0,0,4,0,1,0,0,0,0,2,8,4,17,3,6,2
TMUE_2000008698.1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2
TMUE_2000008699.1,5,6,0,10,4,2,7,0,6,0,0,0,0,7,10,0,0,2,7,9,22,0,6,20
TMUE_2000008701.1,24,28,79,29,34,14,2,15,0,0,3,0,2,0,5,3,1,3,5,8,11,6,4,17
TMUE_2000008702.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,1,11,12,2
TMUE_2000008703.1,1318,862,600,907,828,463,19,421,72,98,90,18,57,94,129,34,14,117,165,232,3,191,223,0
TMUE_2000008703.2,14,0,14,45,0,0,0,0,18,0,38,0,0,13,40,0,20,11,37,53,0,82,19,29
TMUE_2000008703.3,167,214,163,102,265,31,6,28,0,7,8,0,7,16,68,3,0,49,6,39,49,30,131,12
TMUE_2000008703.4,11,0,0,0,0,0,0,14,0,0,0,11,0,0,0,2,0,5,19,8,71,23,0,40
TMUE_2000008704.1,247,119,87,144,84,77,1,11,9,152,57,0,28,685,1137,25,12,882,24,172,57,316,399,81
TMUE_2000008705.1,5,13,18,2,6,6,1,3,0,1,0,0,4,6,9,1,2,9,95,144,88,208,132,71
TMUE_2000008706.1,16,0,31,19,18,9,0,3,0,0,9,0,0,0,2,2,0,0,3,18,31,10,18,14
TMUE_2000008707.1,88,53,96,60,37,32,1,41,31,31,25,3,10,15,20,6,2,18,39,22,12,32,20,3
TMUE_2000008708.1,727,492,500,491,389,229,33,412,85,163,254,67,84,321,400,141,41,358,458,697,253,385,753,206
TMUE_2000008709.1,368,456,327,554,430,130,29,192,2,36,47,9,25,69,51,27,24,48,167,365,300,285,175,226
TMUE_2000008710.1,97,21,39,10,0,2,2,22,3,3,9,3,43,69,50,17,4,17,200,227,16,132,210,18
TMUE_2000008710.2,194,146,296,248,249,135,118,100,14,39,36,16,31,68,48,79,25,154,135,310,470,223,224,519
TMUE_2000008711.1,305,224,264,207,129,49,13,80,12,12,32,4,21,51,115,53,11,77,287,217,97,118,181,73
TMUE_2000008713.1,1,0,19,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,13,15,7,7,16
TMUE_2000008714.1,7,3,22,8,14,2,0,3,0,3,0,0,0,0,1,2,0,0,5,4,3,3,7,12
TMUE_2000008715.1,1141,1065,824,941,556,213,26,493,168,201,293,78,58,219,293,132,60,262,477,600,210,381,444,184
TMUE_2000008715.2,721,100,20,130,25,177,0,54,0,16,46,15,45,101,0,12,0,14,0,10,0,10,0,10
TMUE_2000008716.1,4,0,47,14,8,1,0,7,0,0,0,0,2,0,2,1,0,1,93,89,35,19,40,40
TMUE_2000008717.1,693,336,371,318,212,157,14,79,0,120,62,12,16,212,223,33,17,123,220,245,82,236,417,52
TMUE_2000008718.1,942,1045,627,1004,1414,223,12,970,91,136,147,38,113,171,129,97,41,143,763,649,23,355,503,92
TMUE_2000008718.2,19,115,268,56,110,38,10,0,0,0,0,0,0,26,40,10,22,0,0,0,119,0,10,83
TMUE_2000008719.1,8,6,12,8,3,1,0,5,0,0,0,0,0,0,7,0,0,0,9,10,5,7,16,3
TMUE_2000008720.1,0,7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
TMUE_2000008720.2,613,250,180,438,302,179,0,260,0,55,70,0,61,94,124,43,17,18,241,164,26,171,155,15
TMUE_2000008720.3,128,113,270,112,29,89,8,115,22,12,11,17,0,56,0,0,0,41,45,40,0,51,113,10
TMUE_2000008721.1,2,2,14,14,9,3,2,0,6,0,1,0,12,0,0,2,0,2,11,12,28,10,10,9
TMUE_2000008722.1,32,15,25,95,19,25,7,21,12,21,35,20,15,92,56,29,12,32,87,128,11,96,135,17
TMUE_2000008723.1,76,31,18,6,4,21,1,26,0,1,9,4,0,0,2,0,1,5,13,0,4,3,0,4
TMUE_2000008724.1,0,14,31,0,0,7,0,4,1,0,0,0,2,3,1,0,0,2,6,6,24,3,3,20
TMUE_2000008725.1,0,0,16,0,2,0,0,0,2,0,0,0,0,13,0,0,0,0,1,0,0,3,0,0
TMUE_2000008726.1,76,50,345,62,23,10,18,18,1,22,5,5,36,9,47,16,23,27,107,49,233,50,117,173
TMUE_2000008727.1,4,0,4,3,0,4,2,0,0,3,0,0,2,0,3,1,0,0,3,0,3,1,1,5
TMUE_2000008728.1,283,104,330,186,80,81,15,163,42,32,35,9,9,113,92,19,11,104,243,241,182,190,286,123
TMUE_2000008729.1,729,821,2516,730,743,223,139,488,105,82,145,70,57,86,120,76,66,82,280,224,479,126,299,431
TMUE_2000008730.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,236,247,12,244,153,13
TMUE_2000008731.1,534,421,712,383,488,220,52,458,11,69,37,10,17,60,155,79,19,63,351,292,146,112,271,157
TMUE_2000008731.2,37,67,106,50,48,0,0,0,0,0,0,6,0,28,0,0,0,0,27,11,12,0,16,14
TMUE_2000008732.1,56,55,57,36,47,14,0,12,0,8,10,0,1,22,17,1,1,4,14,44,9,34,50,15
TMUE_2000008733.1,5,1,4,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0
TMUE_2000008734.1,18,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,21,0,15,0,31,0,33
TMUE_2000008734.2,1,4,17,44,9,0,0,2,3,0,0,0,0,40,10,4,0,15,4,68,14,29,60,0
TMUE_2000008734.3,39,49,10,14,0,0,1,0,0,15,53,0,0,24,19,5,0,39,17,4,0,52,50,13
TMUE_2000008734.4,1,7,36,11,6,9,0,0,2,1,0,2,12,6,19,0,8,26,31,33,49,24,50,10
TMUE_2000008734.5,36,10,4,7,3,0,6,15,0,0,6,0,0,6,5,0,10,0,0,12,0,12,8,13
TMUE_2000008734.6,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17,0,9,62,0
TMUE_2000008735.1,3,4,1,1,0,4,1,1,0,1,0,0,0,0,0,2,0,1,3,8,22,0,3,6
TMUE_2000008736.1,58,44,76,120,44,13,0,73,0,0,0,0,16,27,14,10,0,25,450,251,32,113,110,24
TMUE_2000008737.1,539,379,274,493,232,255,6,405,16,57,179,49,74,118,79,69,28,75,289,263,32,307,198,34
TMUE_2000008738.1,167,156,305,256,117,32,31,86,35,103,100,33,29,101,114,45,10,42,192,127,147,86,163,131
TMUE_2000008739.1,663,382,282,652,323,167,23,259,87,163,309,52,213,597,416,285,90,611,917,1125,116,969,921,90
TMUE_2000008740.1,92,126,72,117,44,59,17,96,1,28,68,7,0,69,66,59,8,63,165,165,106,96,193,45
TMUE_2000008740.2,0,0,21,4,0,0,0,0,0,5,0,0,3,0,0,3,0,4,17,3,26,8,0,26
TMUE_2000008740.3,0,0,0,0,18,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMUE_2000008740.4,10,0,0,0,21,10,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0
TMUE_2000008741.1,3,0,5,1,3,1,0,0,1,0,0,0,0,2,1,1,0,1,5,1,7,0,2,5
TMUE_2000008742.1,3,1,42,12,7,9,0,4,0,3,11,0,0,6,7,1,2,3,5,9,3,3,5,7
TMUE_2000008743.1,1,2,24,2,0,7,0,2,0,0,2,0,0,0,1,0,0,2,7,5,12,0,4,3
