,L1_Unhatched_2,L1_Unhatched_3,L1_Unhatched_4,L1_Unhatched_5,L1_Unhatched_6,L1_Hatched_1,L1_Hatched_2,L1_Hatched_3,L1_3hr_2,L1_3hr_3,L1_3hr_4,L1_3hr_6,L1_24hr_1,L1_24hr_2,L1_24hr_3,L1_24hr_4,L1_24hr_5,L1_24hr_6,L2_1,L2_2,L2_3,L2_4,L2_5,L2_6
TMUE_3000011578.1,150,46,146,82,33,47,7,33,13,15,27,5,7,29,39,9,5,16,71,60,34,36,52,32
TMUE_3000011579.1,776,606,559,834,612,248,32,359,18,101,167,64,42,230,149,54,30,138,96,209,93,200,189,67
TMUE_3000011580.1,77,47,31,38,31,4,1,11,0,15,27,0,1,9,1,0,3,3,1,22,27,44,27,17
TMUE_3000011581.1,9,5,62,24,14,3,1,2,0,0,4,0,0,3,0,0,0,0,0,6,10,6,7,8
TMUE_3000011582.1,453,184,219,382,70,144,10,100,55,124,178,11,81,409,482,67,30,266,302,246,46,207,311,55
TMUE_3000011583.1,826,1137,527,1057,788,384,29,401,88,190,288,31,45,223,193,50,29,245,80,244,33,367,408,37
TMUE_3000011584.1,612,0,2,2,214,1,45,32,1,369,195,29,22,731,1117,208,99,151,719,941,76,1102,1934,0
TMUE_3000011584.2,2571,1251,1198,1549,441,686,0,395,126,88,347,0,242,439,438,0,0,922,350,444,82,347,176,162
TMUE_3000011585.1,417,508,168,690,823,126,0,628,4,195,575,164,239,410,308,288,84,692,1150,2166,166,1121,1386,117
TMUE_3000011585.2,97,16,90,294,280,30,10,60,29,33,62,16,105,208,208,118,80,134,579,784,12,590,495,11
TMUE_3000011586.1,162,124,135,109,69,40,1,51,5,27,26,5,29,83,115,28,34,84,159,338,119,214,331,76
TMUE_3000011587.1,6,3,26,13,68,2,2,1,0,2,2,2,0,1,4,0,4,0,4457,16440,502,3767,4443,563
TMUE_3000011588.1,79,9,113,68,5,9,0,0,0,3,0,0,2,74,51,0,6,2,10,0,36,26,56,58
TMUE_3000011588.2,0,14,122,12,12,6,45,7,0,0,0,7,15,0,0,11,20,16,34,94,633,70,128,499
TMUE_3000011588.3,66,22,375,5,31,25,14,6,32,24,18,8,0,6,43,10,0,34,52,35,424,36,57,321
TMUE_3000011588.4,31,18,14,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0
TMUE_3000011589.1,752,577,544,465,311,180,69,269,15,120,126,21,44,192,290,72,43,196,830,859,379,390,734,359
TMUE_3000011589.2,37,35,235,32,25,14,12,59,41,11,3,2,5,53,20,6,0,11,44,58,155,31,87,318
TMUE_3000011590.1,384,293,1428,408,326,132,67,200,91,97,145,14,23,56,79,71,34,86,107,108,383,115,169,219
TMUE_3000011591.1,1467,1062,762,1370,780,503,80,491,143,216,330,58,61,247,233,71,38,205,203,305,101,363,290,202
TMUE_3000011592.1,720,363,528,437,269,172,28,58,90,210,185,19,25,250,190,37,9,237,157,272,122,328,590,81
TMUE_3000011593.1,257,91,697,143,129,27,27,71,27,31,30,5,36,36,59,18,12,56,208,188,267,137,231,243
TMUE_3000011594.1,183,86,170,125,86,69,15,50,0,9,3,9,2,35,10,8,6,12,52,35,39,33,49,20
TMUE_3000011595.1,909,193,172,185,27,209,19,11,0,2,0,16,14,0,126,30,0,1,0,0,39,0,0,43
TMUE_3000011595.2,393,125,325,161,0,0,21,10,0,0,0,5,4,133,107,8,0,174,0,0,59,0,1,62
TMUE_3000011595.3,227,276,967,115,147,0,59,193,37,0,0,0,0,0,0,0,0,0,0,82,697,66,165,734
TMUE_3000011595.4,0,0,54,0,0,0,0,0,0,0,0,1,1,28,0,2,36,0,106,87,74,201,263,103
TMUE_3000011595.5,194,272,292,75,88,85,4,10,0,90,94,0,0,0,0,0,0,0,129,69,66,62,62,17
TMUE_3000011596.1,598,364,627,327,265,86,6,126,14,60,24,5,23,20,85,28,4,44,61,26,17,20,87,22
TMUE_3000011597.1,1495,710,815,1015,439,470,51,633,122,150,294,37,70,207,307,121,44,262,773,601,137,404,541,158
TMUE_3000011598.1,169,86,122,145,71,50,3,60,47,38,61,9,13,75,47,34,0,49,344,228,23,212,190,16
TMUE_3000011598.2,154,72,181,118,82,41,11,73,0,24,5,0,0,42,33,6,19,0,32,9,63,3,6,39
TMUE_3000011598.3,101,38,244,83,35,47,8,39,15,15,39,0,0,25,10,10,0,28,10,16,27,7,58,12
TMUE_3000011599.1,21,13,10,26,10,20,0,4,6,0,2,0,0,0,2,7,3,6,4,3,0,4,0,0
TMUE_3000011600.1,102,80,760,101,83,20,12,53,0,13,22,11,4,17,5,7,7,11,20,22,207,25,48,151
TMUE_3000011601.1,0,0,35,113,0,14,4,0,13,0,0,1,10,0,0,0,3,0,0,0,0,0,0,0
